has,prefers,count
Texas,California,48419
Florida,New York,46114
New Jersey,New York,44551
Florida,Georgia,37086
Georgia,Florida,36699
California,Texas,34901
New York,New Jersey,33418
California,Arizona,31809
Arizona,California,30618
Washington,California,30248
Texas,Florida,29726
New York,Florida,29124
Nevada,California,28563
California,Nevada,26229
Pennsylvania,New York,25446
Florida,Texas,25376
California,Washington,24688
Pennsylvania,New Jersey,24402
Texas,Louisiana,23452
North Carolina,Virginia,23086
North Carolina,Florida,22640
Florida,North Carolina,22244
Florida,New Jersey,21885
Virginia,Maryland,21752
Florida,California,21675
Oregon,California,20794
Virginia,North Carolina,20699
South Carolina,North Carolina,20384
Florida,Pennsylvania,20211
California,New York,19963
Florida,Virginia,19740
Washington,Oregon,19490
Louisiana,Texas,19484
Maryland,Virginia,19417
New Jersey,Pennsylvania,19356
New York,Pennsylvania,19294
Texas,Oklahoma,19174
California,Florida,19091
North Carolina,South Carolina,19091
Oklahoma,Texas,18957
Florida,Ohio,18746
Indiana,Illinois,18555
California,Foreign,18416
Texas,Georgia,18373
Virginia,Florida,17859
Texas,Illinois,17455
Texas,Foreign,17220
Oregon,Washington,17128
Alabama,Georgia,17114
New York,California,17025
Colorado,California,17015
Florida,Illinois,16581
North Carolina,New York,16301
Georgia,Alabama,16164
Florida,Foreign,16150
California,Illinois,16063
Texas,Arizona,15863
Texas,Colorado,15839
Missouri,Kansas,15644
Connecticut,New York,15625
Kansas,Missouri,15544
Florida,Michigan,15129
North Carolina,Georgia,15113
Virginia,Foreign,15085
Maryland,D.C.,15005
Wisconsin,Illinois,14931
California,Oregon,14693
California,Colorado,14552
Colorado,Texas,14546
Virginia,California,14502
Illinois,Indiana,14429
Texas,Virginia,14369
Georgia,Texas,14322
Texas,North Carolina,14074
Georgia,North Carolina,14016
Tennessee,Florida,13876
Florida,Massachusetts,13641
Texas,New York,13633
South Carolina,Georgia,13407
California,Virginia,13119
Florida,Tennessee,13083
Georgia,South Carolina,13061
Texas,New Mexico,12996
Missouri,Illinois,12963
Pennsylvania,Florida,12940
Virginia,Texas,12468
D.C.,Maryland,12422
Tennessee,Georgia,12302
Alabama,Florida,12189
Virginia,New York,12186
Florida,Alabama,12064
North Carolina,California,12039
Ohio,Florida,11970
Georgia,New York,11829
New Jersey,Florida,11737
Georgia,Tennessee,11723
Texas,Arkansas,11666
Illinois,California,11639
Massachusetts,New York,11616
Pennsylvania,Maryland,11612
